experiment,run_id,cycle,scheme,scenario,operation,N,q,document_id,keywords,batch_update_ms,first_query_ms,migrated_updates,result_size,correct,seed
E8,0,9,Ren,first_after_update,insert,50000,3,8412332,9,0.0838,0.5991,3,37,1,20260711
E8,0,10,Ren,first_after_update,delete,50000,3,8421249,19,0.1512,0.2688,3,0,1,20260711
E8,0,10,Ren,first_after_update,insert,50000,3,8421249,19,0.5798,0.2801,3,1,1,20260711
E8,0,11,Ren,first_after_update,delete,50000,3,8408240,9,0.0852,0.1996,3,5,1,20260711
E8,0,11,Ren,first_after_update,insert,50000,3,8408240,9,0.0734,0.2028,3,6,1,20260711
E8,0,12,Ren,first_after_update,delete,50000,3,8406277,10,0.0752,0.2942,3,5,1,20260711
E8,0,12,Ren,first_after_update,insert,50000,3,8406277,10,0.0895,0.3015,3,6,1,20260711
E8,0,13,Ren,first_after_update,delete,50000,3,8412427,13,0.1094,0.1387,3,1,1,20260711
E8,0,13,Ren,first_after_update,insert,50000,3,8412427,13,0.1124,0.1422,3,2,1,20260711
E8,0,14,Ren,first_after_update,delete,50000,3,8409682,10,0.0885,1.8099,3,38,1,20260711
E8,0,14,Ren,first_after_update,insert,50000,3,8409682,10,0.0902,1.9751,3,39,1,20260711
E8,0,15,Ren,first_after_update,delete,50000,3,8410902,12,0.1037,2.4824,3,587,1,20260711
E8,0,15,Ren,first_after_update,insert,50000,3,8410902,12,0.0918,2.5634,3,588,1,20260711
E8,0,16,Ren,first_after_update,delete,50000,3,8413858,14,0.1052,0.2624,3,0,1,20260711
E8,0,16,Ren,first_after_update,insert,50000,3,8413858,14,0.1047,0.2654,3,1,1,20260711
E8,0,17,Ren,first_after_update,delete,50000,3,8401172,8,0.0631,0.2337,3,41,1,20260711
E8,0,17,Ren,first_after_update,insert,50000,3,8401172,8,0.0648,0.239,3,42,1,20260711
E8,0,18,Ren,first_after_update,delete,50000,3,8401883,13,0.0989,0.3279,3,0,1,20260711
E8,0,18,Ren,first_after_update,insert,50000,3,8401883,13,0.0975,0.4448,3,1,1,20260711
E8,0,19,Ren,first_after_update,delete,50000,3,8421256,10,0.0776,0.2386,3,12,1,20260711
E8,0,19,Ren,first_after_update,insert,50000,3,8421256,10,0.078,0.2374,3,13,1,20260711
E8,0,20,Ren,first_after_update,delete,50000,3,8403467,14,0.1041,0.1057,3,0,1,20260711
E8,0,20,Ren,first_after_update,insert,50000,3,8403467,14,0.1211,0.1172,3,1,1,20260711
E8,0,21,Ren,first_after_update,delete,50000,3,8418701,15,0.125,0.027,3,0,1,20260711
E8,0,21,Ren,first_after_update,insert,50000,3,8418701,15,0.1088,0.0294,3,1,1,20260711
E8,0,22,Ren,first_after_update,delete,50000,3,8410524,12,0.0912,0.0245,3,0,1,20260711
E8,0,22,Ren,first_after_update,insert,50000,3,8410524,12,0.1015,0.031,3,1,1,20260711
E8,0,23,Ren,first_after_update,delete,50000,3,8405120,17,0.1385,0.0272,3,0,1,20260711
E8,0,23,Ren,first_after_update,insert,50000,3,8405120,17,0.1233,0.0287,3,1,1,20260711
E8,0,24,Ren,first_after_update,delete,50000,3,8411896,9,0.0678,0.0984,3,18,1,20260711
E8,0,24,Ren,first_after_update,insert,50000,3,8411896,9,0.0771,0.1031,3,19,1,20260711
E8,0,25,Ren,first_after_update,delete,50000,3,8407185,9,0.0856,0.1112,3,3,1,20260711
E8,0,25,Ren,first_after_update,insert,50000,3,8407185,9,0.084,0.1144,3,4,1,20260711
E8,0,26,Ren,first_after_update,delete,50000,3,8411894,8,0.0741,0.0738,3,16,1,20260711
E8,0,26,Ren,first_after_update,insert,50000,3,8411894,8,0.0723,0.0766,3,17,1,20260711
E8,0,27,Ren,first_after_update,delete,50000,3,8412647,9,0.0824,2.6766,3,131,1,20260711
E8,0,27,Ren,first_after_update,insert,50000,3,8412647,9,0.0845,2.4851,3,132,1,20260711
E8,0,28,Ren,first_after_update,delete,50000,3,8402064,12,0.1026,0.031,3,1,1,20260711
E8,0,28,Ren,first_after_update,insert,50000,3,8402064,12,0.1028,0.0365,3,2,1,20260711
E8,0,29,Ren,first_after_update,delete,50000,3,8413535,11,0.0966,0.3363,3,1,1,20260711
